"REF_NO","children","age_band","status","occupation","occupation_partner","home_status","family_income","self_employed","self_employed_partner","year_last_moved","TVarea","post_code","post_area","Average.Credit.Card.Transaction","Balance.Transfer","Term.Deposit","Life.Insurance","Medical.Insurance","Average.A.C.Balance","Personal.Loan","Investment.in.Mutual.Fund","Investment.Tax.Saving.Bond","Home.Loan","Online.Purchase.Amount","Revenue.Grid","gender","region","Investment.in.Commudity","Investment.in.Equity","Investment.in.Derivative","Portfolio.Balance"
10422,"1","45-50","Partner","Manual Worker","Unknown","Own Home","<17,500, >=15,000","No","No",1979,"Meridian","CT9 1LF","CT9",47.46,126.45,188.94,73.45,19.99,0,65.44,0,9.49,0,0,2,"Female","South East",91.26,12.49,28.06,153.66
3457,"1","65-70","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1963,"Scottish TV","G61 3HX","G61",0,0,34.48,149.44,0,59.47,0,0.52,35.47,0,21.98,2,"Female","Scotland",36.78,19.57,40.82,81.06
6889,"Zero","71+","Partner","Retired","Retired","Own Home","<27,500, >=25,000","No","No",1992,"Meridian","L20 7TT","L20",0,0,0,14.49,16.47,2.49,19.98,14.97,1,0,0,2,"Female","North West",6.19,6.41,11.57,63.43
10711,"Zero","51-55","Partner","Professional","Retired","Own Home","<20,000, >=17,500","No","Yes",1976,"TV South West","TQ12 3DJ","TQ12",0,224.47,0,0,0,37.95,0,87.43,4.49,21.96,0,2,"Female","South West",44.89,25.31,21.65,64.92
8201,"Zero","51-55","Partner","Professional","Housewife","Own Home","<25,000, >=22,500","No","No",1995,"Carlton","RG5 4TJ","RG5",0,57.97,0,46.98,78.98,31.73,64.92,54.96,1,0,0,2,"Male","South East",36.79,25.44,46.43,94.92
9937,"Zero","41-45","Partner","Business Manager","Secretarial/Admin","Own Home",">=35,000","No","No",1995,"Anglia","IP14 6HG","IP14",0,0,69.98,0,26.97,29.96,0,129.4,4.49,4.99,0,2,"Male","East Anglia",19.39,28.14,31.8,80.37
6137,"Zero","36-40","Single/Never Married","Secretarial/Admin","Unknown","Rent from Council/HA","<22,500, >=20,000","No","No",1991,"Carlton","EC1Y 0SJ","EC1Y",0,22.99,0,0.01,0,29.99,0,9.99,0,0,0,2,"Female","South East",4.6,6.66,6.67,-69.23
11255,"1","41-45","Partner","Manual Worker","Manual Worker","Own Home","<20,000, >=17,500","No","No",1976,"Scottish TV","FK3 0JH","FK3",0.51,17.96,25.45,50.9,41.44,4.48,73.84,40.94,0.45,0,0,2,"Female","Scotland",27.25,19.95,35.34,85.62
10918,"Zero","45-50","Divorced/Separated","Secretarial/Admin","Unknown","Own Home","<27,500, >=25,000","No","No",1976,"Central","LE65 2QF","LE65",0,0,0,20.99,0,4.99,21.99,54.95,0,0,0,2,"Female","East Midlands",4.2,13.66,17.15,-16.35
6881,"Zero","22-25","Single/Never Married","Professional","Unknown","Live in Parental Hom","Unknown","No","No",1996,"Central","B28 8EZ","B28",0,63.97,0,55.97,0,78.96,0,101.93,0,0,0,2,"Female","West Midlands",23.99,30.15,39.48,97.1
5485,"1","71+","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1968,"Carlton","DA15 8BY","DA15",0,0,0,96.46,0,14.99,5.09,0,0,20.33,0,2,"Female","South East",19.29,6.74,19.42,-0.38
9656,"Zero","51-55","Partner","Secretarial/Admin","Secretarial/Admin","Own Home","<25,000, >=22,500","No","No",1970,"Yorkshire","BD6 3NE","BD6",0,0,0,0,0,9.99,0,0,0,0,0,2,"Female","Unknown",0,1.67,1.67,-5.55
896,"Zero","51-55","Divorced/Separated","Professional","Unknown","Own Home","<20,000, >=17,500","No","No",1997,"Meridian","L17 9TN","L17",0.1,0,0,0,0,0,0,0,0,0,0,2,"Male","North West",0.02,0,0,40.5
1714,"1","22-25","Single/Never Married","Professional","Professional","Own Home",">=35,000","No","Yes",1990,"Yorkshire","LS22 7FU","LS22",40.46,20.04,96.44,245.37,39.44,40.45,130.01,106.1,29.45,34.47,12.97,2,"Female","Unknown",88.35,58.91,98.47,270.28
4383,"Zero","65-70","Partner","Retired","Retired","Own Home","<12,500, >=10,000","No","No",1996,"Anglia","IP11 7DJ","IP11",27.47,22.99,83.97,160.37,20.98,49.97,0,55.45,0,0,0,2,"Female","East Anglia",63.16,17.57,47.8,113.54
9243,"1","31-35","Partner","Other","Other","Rent from Council/HA","<25,000, >=22,500","No","No",1980,"Carlton","WA9 6AT","WA9",0,0,0,5.97,0,22.96,0,0,0,9.49,0,2,"Female","North West",1.19,5.41,4.82,42.74
6809,"2","36-40","Partner","Secretarial/Admin","Manual Worker","Own Home","<22,500, >=20,000","No","Yes",1990,"HTV","CF83 1JY","CF83",17.98,0,0,0,7.49,45.48,17.48,9.99,9.99,0,25.98,2,"Female","Wales",5.09,18.15,15.07,58
7912,"Zero","61-65","Partner","Business Manager","Business Manager","Own Home","<27,500, >=25,000","No","No",1991,"Central","GL2 8AF","GL2",249.98,0,0,0,69.98,0,56.96,0,2.49,0,0,1,"Female","South West",63.99,9.91,21.57,69.34
5827,"Zero","55-60","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1996,"Tyne Tees","TS9 5HB","TS9",0,72.44,29.99,64.95,0,20.98,130.92,21.98,0,0,0,2,"Female","North",33.48,28.98,39.81,90.07
8260,"Zero","45-50","Single/Never Married","Professional","Unknown","Own Home","<10,000, >= 8,000","No","No",1963,"Tyne Tees","NE34 9RA","NE34",0,0,24.99,0,0,11.99,0,13.99,0,0,21.99,2,"Male","North",5,8,4.33,-3.2
1914,"Zero","41-45","Partner","Professional","Manual Worker","Own Home","<27,500, >=25,000","No","No",1978,"HTV","SN10 5EX","SN10",0,24.49,0,93.96,10.99,23.95,0,111.42,14.98,10.49,0,2,"Female","South West",25.89,26.81,42.55,100.66
390,"1","31-35","Partner","Secretarial/Admin","Unknown","Own Home","<30,000, >=27,500","No","No",1992,"Scottish TV","KA11 3AN","KA11",19.99,0,0,0,9.49,0,0,0,0,0,0,2,"Female","Scotland",5.9,0,1.58,-25.54
2967,"Zero","51-55","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1928,"Anglia","PR5 4DB","PR5",0,0,0,0,0,0,89.46,0,0,0,0,2,"Female","North West",0,14.91,14.91,49
1251,"Zero","61-65","Partner","Retired","Retired","Own Home",">=35,000","No","No",1998,"HTV","GL19 4JR","GL19",0,0,82.97,24.99,0,4.99,0,53.48,1.99,0,0,2,"Male","South West",21.59,10.08,14.24,70.47
1177,"Zero","65-70","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1983,"Meridian","M23 7BS","M23",0,59.49,0,66.47,57.97,0,41.46,47.45,5.99,2.99,7.48,2,"Male","North West",36.79,17.56,36.56,76.81
6014,"2","41-45","Partner","Secretarial/Admin","Business Manager","Own Home",">=35,000","No","No",1986,"Yorkshire","S81 8DP","S81",0,0,9.99,0,2.5,0,0,33.96,0,0,0,2,"Female","East Midlands",2.5,5.66,6.08,28.09
8952,"Zero","71+","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1988,"Meridian","BN11 4SD","BN11",0,0,0,65.48,0,4.48,0,9.99,5,11.98,0,2,"Female","South East",13.1,5.24,14.16,26.78
1197,"1","41-45","Partner","Professional","Business Manager","Own Home",">=35,000","No","No",1979,"Tyne Tees","TS8 0RU","TS8",0,19.99,0,82.43,0,53.87,215.82,0.01,14.47,21.43,0,2,"Female","North",20.48,50.93,61.1,111.42
2903,"Zero","61-65","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1956,"Yorkshire","HU10 7QZ","HU10",33.99,59.98,122.45,205.9,41.98,83.97,42.48,31.98,0,6.99,28.45,2,"Female","Unknown",92.86,32.31,67.72,180.75
1671,"Zero","55-60","Partner","Retired","Secretarial/Admin","Own Home","<22,500, >=20,000","No","No",1979,"Anglia","IP5 1HA","IP5",0,0,0,0,44.96,14.99,0,69.47,0,9.98,24.97,2,"Female","East Anglia",8.99,19.9,21.57,93.57
11007,"Zero","45-50","Partner","Other","Other","Own Home","<17,500, >=15,000","No","No",1984,"Scottish TV","KA4 8QD","KA4",19.98,0,0,0,59.48,10.98,0,57.48,0,0,0,2,"Female","Scotland",15.89,11.41,21.32,0.71
4593,"Zero","65-70","Partner","Retired","Housewife","Own Home","< 8,000, >= 4,000","No","No",1982,"Unknown","NP19 7QP","NP19",0,0,0,13.95,5.99,9.99,0,42.96,0,0,0,2,"Male","Unknown",3.99,8.83,12.15,-3.43
2966,"1","41-45","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","Yes",1987,"Granada","BB4 5TR","BB4",0,0,0,27.49,65.97,29.99,53.98,0,0,0,0,2,"Female","North West",18.69,14,29.57,103.8
2284,"1","51-55","Widowed","Professional","Unknown","Own Home","<15,000, >=12,500","No","No",1978,"Carlton","RM12 4LL","RM12",24.49,109.46,27.49,171.33,0,211.88,17.49,84.93,10.47,82.86,27.99,2,"Female","South East",66.55,72.6,82.68,205.6
10293,"Zero","51-55","Partner","Secretarial/Admin","Retired","Own Home","<25,000, >=22,500","No","No",1978,"Ulster","BT39 9JZ","BT39",0,0,0,71.96,0,9.98,0,35.97,0,0,0,2,"Female","Northern Ireland",14.39,7.66,19.65,23.81
2110,"Zero","65-70","Partner","Retired","Retired","Own Home","<15,000, >=12,500","No","No",1958,"HTV","BS36 1LU","BS36",5.09,0,0,0,44.27,19.99,0,29.97,10.97,0,0,2,"Male","South West",9.87,10.16,17.53,19.82
158,"1","45-50","Partner","Professional","Other","Own Home",">=35,000","No","No",1988,"Yorkshire","WF7 7DW","WF7",0,44.99,0,53.99,24.99,0,0,0,0,0,0,2,"Male","Unknown",24.79,0,13.16,28.18
7176,"Zero","45-50","Partner","Student","Retired","Own Home","<17,500, >=15,000","No","No",1993,"Yorkshire","YO12 5JP","YO12",0,81.47,0,9.99,0,8.47,0,31.48,11.48,0,0,2,"Female","Unknown",18.29,8.57,10.24,26.93
3141,"Zero","61-65","Widowed","Retired","Unknown","Own Home","<12,500, >=10,000","No","No",1977,"Yorkshire","HU16 4QJ","HU16",0,144.45,104.44,16.95,25.47,68.96,132.88,21.49,10.99,4.99,28.97,2,"Female","Unknown",58.26,44.71,46.12,119.01
3144,"1","31-35","Partner","Secretarial/Admin","Manual Worker","Own Home",">=35,000","No","No",1995,"Central","DY4 8TT","DY4",0,25.01,0,22.98,7.99,0,105.35,11.99,0,19.97,0,2,"Female","West Midlands",11.2,22.89,24.72,41.54
7866,"Zero","55-60","Partner","Business Manager","Manual Worker","Own Home","<27,500, >=25,000","No","No",1967,"TV South West","TQ13 7QT","TQ13",0,69.97,14.99,44.47,10.99,29.99,100.91,7.99,0,2.98,0,2,"Female","South West",28.08,23.65,32.39,79.11
7668,"Zero","26-30","Single/Never Married","Secretarial/Admin","Unknown","Own Home","<12,500, >=10,000","No","No",1992,"Grampian","AB12 4SZ","AB12",0,0,61.97,0,9.48,0,0,0,2.99,14.99,0,2,"Male","Scotland",14.29,3,2.08,6.35
2719,"Zero","71+","Widowed","Retired","Unknown","Own Home","<10,000, >= 8,000","No","No",1972,"Scottish TV","PA30 8HF","PA30",9.99,82.96,111.43,164.43,54.96,34.97,0,133.4,0,0,0,2,"Female","Scotland",84.75,28.06,64.63,148.86
2610,"2","36-40","Partner","Professional","Professional","Rent from Council/HA","<30,000, >=27,500","No","No",1996,"Carlton","WD3 1TA","WD3",0,44.99,0,61.98,0,41.95,0,62.95,0,19.97,0,2,"Male","South East",21.39,20.81,27.81,96.1
10528,"Zero","45-50","Widowed","Professional","Unknown","Own Home","<22,500, >=20,000","No","No",1970,"Unknown","NP15 1HJ","NP15",84.46,99.48,69.97,53.96,0,53.38,0,9.99,11.47,24.18,46.94,2,"Female","Unknown",61.57,24.33,21.47,90.7
5016,"Zero","71+","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1989,"Central","DY6 9PS","DY6",0,0,0,0,0,20.98,0,5.98,7.99,2,0,2,"Female","West Midlands",0,6.16,5.83,2.36
7859,"Zero","51-55","Partner","Business Manager","Secretarial/Admin","Own Home",">=35,000","No","No",1982,"Carlton","KT17 4HT","KT17",4.01,583.87,56.98,397.22,23.96,327.82,23.97,198.85,32.89,9.99,654.3,1,"Male","South East",213.21,207.97,167.45,552.32
3082,"3","45-50","Partner","Housewife","Unknown","Own Home","<25,000, >=22,500","No","No",1990,"Carlton","M14 3QF","M14",114.39,114.41,219.87,179.32,60.93,87.44,0,129.43,12.97,0,7.98,2,"Female","North West",137.78,39.64,78.35,273.75
2103,"Zero","22-25","Single/Never Married","Professional","Unknown","Own Home",">=35,000","No","No",1998,"Carlton","HA8 5JL","HA8",0,659.21,21.54,406.11,0,126.44,453.7,417.2,0,0,42.97,2,"Unknown","South East",217.37,173.39,233.91,560.24
6257,"Zero","45-50","Partner","Professional","Professional","Own Home",">=35,000","Yes","No",1973,"Yorkshire","S60 3BT","S60",0,69.46,0,157.91,34.49,30.44,0,64.94,0,5.48,0,2,"Male","Unknown",52.37,16.81,47.96,113.04
2648,"1","45-50","Partner","Secretarial/Admin","Business Manager","Own Home","<30,000, >=27,500","No","No",1971,"Anglia","NR13 4QU","NR13",0,0,47.98,81.94,6.99,0,42.95,11.99,0,0,0,2,"Female","East Anglia",27.38,9.16,23.98,111.86
952,"2","45-50","Partner","Professional","Professional","Own Home",">=35,000","No","No",1983,"Central","B90 4ER","B90",0,24.99,0,67.44,0,69.45,0,23.97,15.48,7.48,0,2,"Female","West Midlands",18.49,19.4,29.39,49.62
4230,"Zero","55-60","Partner","Retired","Retired","Own Home",">=35,000","No","No",1969,"Granada","PR8 3PX","PR8",81.46,0,67.97,0,10.99,74.99,0,38.96,40.96,0,43.97,2,"Female","North West",32.08,33.15,27.65,21.76
2188,"3","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1998,"Carlton","WA6 8EP","WA6",9.98,0,0,55.98,0,9.48,0,9.99,0,0,98.43,1,"Female","North West",13.19,19.65,12.58,32.71
9951,"Zero","71+","Partner","Retired","Retired","Own Home","<20,000, >=17,500","No","No",1976,"Granada","FY6 7QP","FY6",0,150.95,14.49,31.99,0,0,0,0,0,0,0,2,"Female","North West",39.49,0,5.33,33.24
9139,"2","36-40","Partner","Manual Worker","Manual Worker","Own Home","<17,500, >=15,000","No","No",1982,"Anglia","IP31 3DN","IP31",89.47,19.96,85.93,205.37,10,137.39,256.21,51.46,31.96,0,0,2,"Female","East Anglia",82.15,79.5,115.4,259.16
11196,"Zero","22-25","Partner","Housewife","Manual Worker","Own Home","<12,500, >=10,000","No","Yes",1996,"HTV","SA62 5PR","SA62",0,29.98,49.98,55.97,0,24.99,0,98.91,1,0,0,2,"Female","Wales",27.19,20.82,30.15,80.32
9822,"Zero","71+","Partner","Retired","Housewife","Own Home","<15,000, >=12,500","No","No",1979,"HTV","BA11 2JD","BA11",32.96,0.51,0,112.86,24.73,19.97,39,7.98,9.49,8.57,0,2,"Male","South West",34.21,14.17,35.67,63.33
8825,"1","26-30","Partner","Unknown","Secretarial/Admin","Own Home",">=35,000","Yes","No",1995,"Anglia","NR9 3PR","NR9",0,45.41,30,24.44,12,19.98,30.98,35.44,1.99,0,0,2,"Male","East Anglia",22.37,14.73,20.81,95.68
9357,"2","31-35","Partner","Housewife","Manual Worker","Own Home","<10,000, >= 8,000","No","No",1987,"Yorkshire","DN2 5HT","DN2",233.95,21.97,0,0,9.99,38.47,77.37,0,15.48,6.99,32.48,1,"Female","Unknown",53.18,28.47,23.55,119.34
6330,"Zero","22-25","Single/Never Married","Professional","Unknown","Live in Parental Hom",">=35,000","Yes","No",1972,"Carlton","IG8 9AX","IG8",0,29.48,0,91.43,0,28.49,24.48,0,0,4.49,0,2,"Male","South East",24.18,9.58,24.07,100.29
4443,"Zero","22-25","Partner","Professional","Professional","Own Home","<30,000, >=27,500","No","No",1994,"HTV","CF42 5PU","CF42",59.48,0,34.49,38.98,48.95,4.99,0,0,0,0,0,2,"Female","Wales",36.38,0.83,15.49,-18.68
5107,"Zero","51-55","Partner","Housewife","Unknown","Own Home",">=35,000","No","Yes",1976,"Yorkshire","HX6 2UA","HX6",39.47,0,24.99,0,16.98,48.96,0,99.46,40.95,0,11.99,1,"Female","Unknown",16.29,33.56,34.39,105.27
838,"Zero","31-35","Partner","Secretarial/Admin","Manual Worker","Own Home","<27,500, >=25,000","No","No",1997,"Yorkshire","S65 4PR","S65",41.97,68.93,39.48,404.81,17.07,176.62,0,393.19,40.94,18.47,22.45,2,"Female","Unknown",114.45,108.61,172.11,430.72
617,"Zero","61-65","Divorced/Separated","Retired","Unknown","Rent Privately","< 4,000","No","No",1954,"Central","L9 4BU","L9",0,0,0,0.01,0,0,0,11.99,2,0,0,2,"Female","North West",0,2.33,2.33,-26.45
5206,"Zero","51-55","Partner","Retired","Retired","Own Home","<22,500, >=20,000","No","No",1964,"Yorkshire","YO8 3SH","YO8",0,0,0,24.98,0,0,0.01,0,4.49,5,0,2,"Female","Unknown",5,1.58,4.91,-3.37
9781,"Zero","55-60","Partner","Secretarial/Admin","Professional","Own Home","<30,000, >=27,500","No","No",1992,"Meridian","CT19 5TN","CT19",0,0,0,0,0,16.99,0,29.49,0,0,0,2,"Female","South East",0,7.75,7.75,-27.45
9092,"Zero","55-60","Divorced/Separated","Secretarial/Admin","Unknown","Own Home","<15,000, >=12,500","No","No",1996,"Carlton","IG7 4PL","IG7",33.98,0,0,0,29.49,0,0,0,0,0,0,2,"Female","South East",12.69,0,4.92,63.38
10754,"Zero","51-55","Divorced/Separated","Retired","Unknown","Rent Privately","< 4,000","No","No",1997,"Granada","LA9 5LA","LA9",22.98,0,0,122.41,4.48,34.99,0,47.46,0,4.99,0,2,"Female","North",29.97,14.57,34.89,100.23
3693,"Zero","51-55","Partner","Unknown","Secretarial/Admin","Own Home","<27,500, >=25,000","No","No",1960,"Central","NG5 5AA","NG5",0,51.48,0,11.99,0,70.96,0,45.07,0,0,0,2,"Female","East Midlands",12.69,19.34,21.34,17.59
10820,"Zero","61-65","Partner","Retired","Retired","Own Home","<10,000, >= 8,000","No","No",1968,"Tyne Tees","DH8 7DP","DH8",0,34.48,62.48,0,0,47.94,0,57.47,2,31.95,21.98,2,"Male","North",19.39,26.89,17.9,83.45
8079,"1","41-45","Single/Never Married","Manual Worker","Manual Worker","Rent from Council/HA","<27,500, >=25,000","No","No",1998,"Anglia","MK6 2SY","MK6",0,73.46,0,55.97,0,0.52,0,0,0,0,0,2,"Female","South East",25.89,0.09,9.42,58.58
4392,"1","31-35","Partner","Manual Worker","Housewife","Own Home","<20,000, >=17,500","No","No",1982,"Central","B71 1BX","B71",0,0,0,0,0,0,0,0,19.99,4.48,0,2,"Male","West Midlands",0,4.08,3.33,-0.99
497,"Zero","61-65","Partner","Retired","Retired","Own Home","< 8,000, >= 4,000","No","No",1955,"HTV","BA21 5ND","BA21",0,0,29.99,0,0,0,0,17.99,2,7.98,0,2,"Female","South West",6,4.66,3.33,13.07
10513,"Zero","61-65","Partner","Housewife","Professional","Own Home",">=35,000","No","No",1984,"HTV","CF62 6LZ","CF62",0,34.48,53.49,76.94,55.47,0,0,0,0,0,0,2,"Female","Wales",44.08,0,22.07,47.53
10086,"Zero","45-50","Partner","Manual Worker","Manual Worker","Own Home","<27,500, >=25,000","No","No",1984,"Granada","OL2 7AU","OL2",29.49,242.44,24.48,221.5,24.98,78.96,250.23,107.41,0,0,19.98,2,"Female","North West",108.58,76.1,113.85,293.64
8034,"2","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1987,"Carlton","EN11 9NH","EN11",16.98,0.01,0,13.95,0,34.98,51.93,3.47,0,0,0,2,"Female","South East",6.19,15.06,17.39,5.36
10081,"Zero","65-70","Divorced/Separated","Retired","Unknown","Own Home","< 8,000, >= 4,000","No","No",1997,"Meridian","SO31 7FP","SO31",0,24.99,0,0,0,0,0,19.99,0,0,0,2,"Female","South East",5,3.33,3.33,38.27
3511,"Zero","65-70","Single/Never Married","Retired","Unknown","Own Home","<10,000, >= 8,000","No","No",1989,"Granada","FY5 3AS","FY5",0,0,34.99,0,0,0,0,26.98,0,2.75,0,2,"Female","North West",7,4.96,4.5,-25.14
9105,"Zero","41-45","Single/Never Married","Unknown","Unknown","Own Home","<30,000, >=27,500","Yes","No",1989,"HTV","SA3 4LJ","SA3",78.98,0,24.99,53.47,0,10.47,0,102.43,17.45,0,0,2,"Female","Wales",31.49,21.73,30.64,20.96
10120,"Zero","65-70","Partner","Housewife","Retired","Own Home","<10,000, >= 8,000","No","No",1989,"Scottish TV","G44 3YQ","G44",29.99,0.51,82.97,168.87,34.48,29.98,0,40.95,5.99,0,55.47,2,"Female","Scotland",63.36,22.07,46.71,139.76
1182,"Zero","61-65","Widowed","Retired","Unknown","Own Home","< 8,000, >= 4,000","No","No",1983,"TV South West","EX10 9QN","EX10",71.46,0,29.98,24.96,0,39.48,0,0,19.99,0,0,2,"Female","South West",25.28,9.91,14.07,73.63
1801,"1","36-40","Partner","Secretarial/Admin","Professional","Own Home",">=35,000","No","No",1990,"Tyne Tees","NE34 6NQ","NE34",52.46,166.43,219.42,241.35,43.93,117.89,9.99,170.37,0,0,8.98,2,"Female","North",144.72,51.21,97.26,312.68
10881,"1","45-50","Partner","Professional","Professional","Own Home","<20,000, >=17,500","Yes","No",1971,"Central","DY3 3EQ","DY3",0,68.42,109.43,127.79,4.99,16.46,61.27,28.66,1.25,17.48,2.49,2,"Male","West Midlands",62.13,21.27,40.07,110.76
3201,"2","31-35","Partner","Professional","Unknown","Own Home",">=35,000","No","Yes",1997,"Grampian","PH1 3UX","PH1",34.48,0,113.94,0,0,0,0,0,0,0,0,2,"Female","Scotland",29.68,0,0,21.97
11328,"Zero","61-65","Partner","Retired","Retired","Own Home","<17,500, >=15,000","No","No",1956,"Carlton","PR1 2JU","PR1",0,50.98,44.48,101.46,0,25.48,0,23.48,0,7.22,0,2,"Female","North West",39.38,9.36,25.07,54.17
7634,"2","41-45","Partner","Professional","Professional","Own Home",">=35,000","No","No",1984,"Carlton","SL6 6JG","SL6",0,0.01,0,75.95,0,0,0,0,0,0,0,2,"Male","South East",15.19,0,12.66,31.75
3083,"2","26-30","Partner","Professional","Unknown","Own Home","<27,500, >=25,000","No","No",1998,"Tyne Tees","NE61 3PR","NE61",0,0,0,0,0,0,40.48,0,0,0,0,2,"Female","North",0,6.75,6.75,-9.23
5453,"Zero","65-70","Widowed","Retired","Unknown","Own Home","< 4,000","No","No",1995,"Anglia","L22 7HX","L22",100.98,0,0,17.99,0,0,0,0,0,0,0,2,"Female","North West",23.79,0,3,30.77
